A1	Codigouf	Codigomunicipio	Nome	A140	A141	A142	A143	A144	A145	A146	A147	A148	A149	A150
1200054	12	54	ASSIS BRASIL	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Sim
1200104	12	104	BRASILEIA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1200138	12	138	BUJARI	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1200179	12	179	CAPIXABA	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não possui Fórum	Não	-	-	-	-	Sim
1200203	12	203	CRUZEIRO DO SUL	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1200252	12	252	EPITACIOLANDIA	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não	Não	-	-	-	-	Não
1200302	12	302	FEIJO	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1200328	12	328	JORDAO	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1200336	12	336	MANCIO LIMA	Sim	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Sim	Não	-	-	-	-	Não
1200344	12	344	MANOEL URBANO	Não	Não	Não	-	-	Não	-	-	-	-	Não
1200351	12	351	MARECHAL THAUMATURGO	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
1200385	12	385	PLACIDO DE CASTRO	Sim	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
1200393	12	393	PORTO WALTER	Sim	Não	Não	-	-	Não	-	-	-	-	Não
1200401	12	401	RIO BRANCO	Sim	Sim	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1200427	12	427	RODRIGUES ALVES	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1200435	12	435	SANTA ROSA DO PURUS	Não	Não	Não	-	-	Não	-	-	-	-	Não
1200450	12	450	SENADOR GUIOMARD	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Sim
1200500	12	500	SENA MADUREIRA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Sim	Sim	Sim	Sim	Não	Não
1200609	12	609	TARAUACA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1200708	12	708	XAPURI	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Sim
1200807	12	807	PORTO ACRE	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
1300029	13	29	ALVARAES	Não	Não	Não	-	-	Não	-	-	-	-	Não
1300060	13	60	AMATURA	Sim	Sim	Não	-	-	Sim	Sim	Sim	Não	Não	Não
1300086	13	86	ANAMA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1300102	13	102	ANORI	Não	Não	Não	-	-	Não	-	-	-	-	Não
1300144	13	144	APUI	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Não
1300201	13	201	ATALAIA DO NORTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
1300300	13	300	AUTAZES	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1300409	13	409	BARCELOS	Não	Sim	Não	-	-	Sim	Sim	Não	Não	Sim	Não
1300508	13	508	BARREIRINHA	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
1300607	13	607	BENJAMIN CONSTANT	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
1300631	13	631	BERURI	Não	Sim	Não	-	-	Sim	Não	-	-	-	Não
1300680	13	680	BOA VISTA DO RAMOS	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
1300706	13	706	BOCA DO ACRE	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
1300805	13	805	BORBA	Sim	Sim	Não	-	-	Não	-	-	-	-	Sim
1300839	13	839	CAAPIRANGA	Sim	Sim	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1300904	13	904	CANUTAMA	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Sim	Sim	Sim	Não
1301001	13	1001	CARAUARI	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não possui Fórum	Sim	Sim	Sim	Sim	Sim	Não
1301100	13	1100	CAREIRO	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1301159	13	1159	CAREIRO DA VARZEA	Não	Não	Não	-	-	Sim	Sim	Não	Sim	Não	Não
1301209	13	1209	COARI	Sim	Sim	Não	-	-	Não	-	-	-	-	Não
1301308	13	1308	CODAJAS	Sim	Sim	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Sim	Não	-	-	-	-	Sim
1301407	13	1407	EIRUNEPE	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1301506	13	1506	ENVIRA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1301605	13	1605	FONTE BOA	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
1301654	13	1654	GUAJARA	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
1301704	13	1704	HUMAITA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1301803	13	1803	IPIXUNA	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
1301852	13	1852	IRANDUBA	Sim	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não possui Fórum	Não	-	-	-	-	Sim
1301902	13	1902	ITACOATIARA	Não	Não	Sim	Definição de diagnóstico e metodologia	Sim	Não	-	-	-	-	Sim
1301951	13	1951	ITAMARATI	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1302009	13	2009	ITAPIRANGA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1302108	13	2108	JAPURA	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
1302207	13	2207	JURUA	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
1302306	13	2306	JUTAI	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1302405	13	2405	LABREA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1302504	13	2504	MANACAPURU	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1302553	13	2553	MANAQUIRI	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1302603	13	2603	MANAUS	Sim	Sim	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
1302702	13	2702	MANICORE	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1302801	13	2801	MARAA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1302900	13	2900	MAUES	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
1303007	13	3007	NHAMUNDA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
1303106	13	3106	NOVA OLINDA DO NORTE	Sim	Sim	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
1303205	13	3205	NOVO AIRAO	Não	Não sabe informar	Não	-	-	Sim	Não	-	-	-	Sim
1303304	13	3304	NOVO ARIPUANA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1303403	13	3403	PARINTINS	Não	Não	Sim	Definição de diagnóstico e metodologia	Sim	Sim	Sim	Sim	Sim	Sim	Não
1303502	13	3502	PAUINI	Não	Não	Sim	Sensibilização/mobilização	Sim	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
1303536	13	3536	PRESIDENTE FIGUEIREDO	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
1303569	13	3569	RIO PRETO DA EVA	Não	Não	Sim	Sensibilização/mobilização	Sim	Não	-	-	-	-	Sim
1303601	13	3601	SANTA ISABEL DO RIO NEGRO	Sim	Não	Não	-	-	Sim	Sim	Sim	Não	Não	Não
1303700	13	3700	SANTO ANTONIO DO ICA	Não	Sim	Não	-	-	Não	-	-	-	-	Não
1303809	13	3809	SAO GABRIEL DA CACHOEIRA	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Não	Não	Não
1303908	13	3908	SAO PAULO DE OLIVENCA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1303957	13	3957	SAO SEBASTIAO DO UATUMA	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
1304005	13	4005	SILVES	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1304062	13	4062	TABATINGA	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
1304104	13	4104	TAPAUA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1304203	13	4203	TEFE	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1304237	13	4237	TONANTINS	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
1304260	13	4260	UARINI	Sim	Não sabe informar	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Sim	Sim	Sim	Sim	Sim	Sim	Não
1304302	13	4302	URUCARA	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
1304401	13	4401	URUCURITUBA	Não	Sim	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Sim	Não	-	-	-	-	Não
1400027	14	27	AMAJARI	Sim	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
1400050	14	50	ALTO ALEGRE	Sim	Não	Sim	Definição de diagnóstico e metodologia	Sim	Sim	Sim	Sim	Sim	Sim	Não
1400100	14	100	BOA VISTA	Sim	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
1400159	14	159	BONFIM	Não	Não	Sim	Sensibilização/mobilização	Sim	Sim	Sim	Sim	Sim	Sim	Não
1400175	14	175	CANTA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Sim	Sim	Sim	Sim	Sim	Não
1400209	14	209	CARACARAI	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1400233	14	233	CAROEBE	Sim	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Sim
1400282	14	282	IRACEMA	Não	Sim	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1400308	14	308	MUCAJAI	Não	Não	Sim	Definição de diagnóstico e metodologia	Não	Sim	Sim	Sim	Sim	Sim	Não
1400407	14	407	NORMANDIA	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
1400456	14	456	PACARAIMA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1400472	14	472	RORAINOPOLIS	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1400506	14	506	SAO JOAO DA BALIZA	Sim	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1400605	14	605	SAO LUIZ	Não	Não sabe informar	Sim	Definição de diagnóstico e metodologia	Não	Sim	Sim	Sim	Sim	Sim	Não
1400704	14	704	UIRAMUTA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1500107	15	107	ABAETETUBA	Não	Não sabe informar	Sim	Sensibilização/mobilização	Não possui Fórum	Sim	Sim	Sim	Sim	Sim	Sim
1500131	15	131	ABEL FIGUEIREDO	Sim	Sim	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1500206	15	206	ACARA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1500305	15	305	AFUA	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Sim
1500347	15	347	AGUA AZUL DO NORTE	Sim	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
1500404	15	404	ALENQUER	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Sim	Sim	Sim	Sim	Sim	Sim
1500503	15	503	ALMEIRIM	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1500602	15	602	ALTAMIRA	Sim	Sim	Sim	Definição de diagnóstico e metodologia	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1500701	15	701	ANAJAS	Não	Não sabe informar	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
1500800	15	800	ANANINDEUA	Sim	Sim	Sim	Apenas iniciou o processo	Não possui Fórum	Sim	Sim	Sim	Sim	Sim	Não
1500859	15	859	ANAPU	Sim	Sim	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1500909	15	909	AUGUSTO CORREA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Sim	Sim	Sim	Sim	Sim	Sim
1500958	15	958	AURORA DO PARA	Não	Sim	Não	-	-	Não	-	-	-	-	Sim
1501006	15	1006	AVEIRO	Não	Não	Sim	Definição de diagnóstico e metodologia	Não	Sim	Não	-	-	-	Sim
1501105	15	1105	BAGRE	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
1501204	15	1204	BAIAO	Sim	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
1501253	15	1253	BANNACH	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
1501303	15	1303	BARCARENA	Sim	Sim	Sim	Definição de diagnóstico e metodologia	Não	Sim	Sim	Sim	Sim	Sim	Não
1501402	15	1402	BELEM	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Sim
1501451	15	1451	BELTERRA	Sim	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
1501501	15	1501	BENEVIDES	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1501576	15	1576	BOM JESUS DO TOCANTINS	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1501600	15	1600	BONITO	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Sim
1501709	15	1709	BRAGANCA	Não	Não	Não	-	-	Sim	Sim	Não	Sim	Sim	Não
1501725	15	1725	BRASIL NOVO	Sim	Sim	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1501758	15	1758	BREJO GRANDE DO ARAGUAIA	Não	Sim	Não	-	-	Não	-	-	-	-	Não
1501782	15	1782	BREU BRANCO	Não	Sim	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
1501808	15	1808	BREVES	Sim	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1501907	15	1907	BUJARU	Sim	Sim	Não	-	-	Não	-	-	-	-	Não
1501956	15	1956	CACHOEIRA DO PIRIA	Não	Não sabe informar	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
1502004	15	2004	CACHOEIRA DO ARARI	Sim	Sim	Não	-	-	Não	-	-	-	-	Não
1502103	15	2103	CAMETA	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
1502152	15	2152	CANAA DOS CARAJAS	Sim	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1502202	15	2202	CAPANEMA	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Sim
1502301	15	2301	CAPITAO POCO	Não	Não sabe informar	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1502400	15	2400	CASTANHAL	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1502509	15	2509	CHAVES	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
1502608	15	2608	COLARES	Não	Não	Sim	Definição de diagnóstico e metodologia	Não	Sim	Não	-	-	-	Não
1502707	15	2707	CONCEICAO DO ARAGUAIA	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Sim	Sim	Sim	Não	Sim	Sim	Não
1502756	15	2756	CONCORDIA DO PARA	Não	Sim	Não	-	-	Sim	Sim	Sim	Não	Sim	Não
1502764	15	2764	CUMARU DO NORTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
1502772	15	2772	CURIONOPOLIS	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1502806	15	2806	CURRALINHO	Sim	Não sabe informar	Sim	Sensibilização/mobilização	Sim	Não	-	-	-	-	Não
1502855	15	2855	CURUA	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Não	Não	Sim	Sim
1502905	15	2905	CURUCA	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
1502939	15	2939	DOM ELISEU	Sim	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Sim	Sim	Sim	Sim	Sim	Sim
1502954	15	2954	ELDORADO DOS CARAJAS	Sim	Sim	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1503002	15	3002	FARO	Não	Não	Não	-	-	Não	-	-	-	-	Não
1503044	15	3044	FLORESTA DO ARAGUAIA	Não	Não	Não	-	-	Sim	Sim	Sim	Não	Não	Não
1503077	15	3077	GARRAFAO DO NORTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
1503093	15	3093	GOIANESIA DO PARA	Sim	Sim	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Não possui Fórum	Não	-	-	-	-	Sim
1503101	15	3101	GURUPA	Não	Não	Sim	Definição de diagnóstico e metodologia	Não	Não	-	-	-	-	Não
1503200	15	3200	IGARAPE-ACU	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
1503309	15	3309	IGARAPE-MIRI	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Sim
1503408	15	3408	INHANGAPI	Não	Não	Não	-	-	Não	-	-	-	-	Não
1503457	15	3457	IPIXUNA DO PARA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1503507	15	3507	IRITUIA	Não	Não	Sim	Definição de diagnóstico e metodologia	Não	Não	-	-	-	-	Não
1503606	15	3606	ITAITUBA	Sim	Sim	Sim	Definição de diagnóstico e metodologia	Não possui Fórum	Sim	Sim	Sim	Sim	Sim	Sim
1503705	15	3705	ITUPIRANGA	Sim	Sim	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Sim
1503754	15	3754	JACAREACANGA	Sim	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1503804	15	3804	JACUNDA	Sim	Sim	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Sim
1503903	15	3903	JURUTI	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Sim
1504000	15	4000	LIMOEIRO DO AJURU	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
1504059	15	4059	MAE DO RIO	Não	Não	Não	-	-	Sim	Não	-	-	-	Sim
1504109	15	4109	MAGALHAES BARATA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1504208	15	4208	MARABA	Sim	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1504307	15	4307	MARACANA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1504406	15	4406	MARAPANIM	Não	Não	Não	-	-	Não	-	-	-	-	Não
1504422	15	4422	MARITUBA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1504455	15	4455	MEDICILANDIA	Sim	Sim	Sim	Definição de diagnóstico e metodologia	Não	Não	-	-	-	-	Sim
1504505	15	4505	MELGACO	Não	Não	Não	-	-	Não	-	-	-	-	Não
1504604	15	4604	MOCAJUBA	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
1504703	15	4703	MOJU	Não	Não	Sim	Sensibilização/mobilização	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1504752	15	4752	MOJUI DOS CAMPOS	Sim	Sim	Não	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
1504802	15	4802	MONTE ALEGRE	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Não	Sim	Sim	Sim
1504901	15	4901	MUANA	Não	Não sabe informar	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
1504950	15	4950	NOVA ESPERANCA DO PIRIA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1504976	15	4976	NOVA IPIXUNA	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1505007	15	5007	NOVA TIMBOTEUA	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Desconhece o que seja Cadastro Ambiental Rural
1505031	15	5031	NOVO PROGRESSO	Sim	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Sim	Não	-	-	-	Não
1505064	15	5064	NOVO REPARTIMENTO	Sim	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1505106	15	5106	OBIDOS	Sim	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1505205	15	5205	OEIRAS DO PARA	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Não	-	-	-	Sim
1505304	15	5304	ORIXIMINA	Não	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Não	Sim	Sim
1505403	15	5403	OUREM	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Sim	Não	Não	Sim	Sim
1505437	15	5437	OURILANDIA DO NORTE	Sim	Não	Não	-	-	Sim	Sim	Não	Não	Sim	Sim
1505486	15	5486	PACAJA	Sim	Sim	Sim	Sensibilização/mobilização	Sim	Sim	Sim	Sim	Sim	Sim	Sim
